deg_1_7,deg_1_7-href,thumb-src,alexander_polynomial,conway_polynomial,gauss_code,jones_polynomial
10_165,http://katlas.org/wiki/10_165,/w/images/6/6a/10_165.gif,,,,
10_165,http://katlas.org/wiki/10_165,,-2 t^2+10 t-15+10 t^{-1} -2 t^{-2},,,
10_165,http://katlas.org/wiki/10_165,,,-2 z^4+2 z^2+1,,
10_165,http://katlas.org/wiki/10_165,,,,"-1, 4, -3, 8, -5, 1, -2, 3, -6, 7, -8, -10, 9, 5, -7, 6, -4, 2, 10, -9",
10_165,http://katlas.org/wiki/10_165,,,,,q^9-3 q^8+4 q^7-6 q^6+7 q^5-6 q^4+6 q^3-4 q^2+2 q
10_164,http://katlas.org/wiki/10_164,/w/images/8/8f/10_164.gif,,,,
10_164,http://katlas.org/wiki/10_164,,3 t^2-11 t+17-11 t^{-1} +3 t^{-2},,,
10_164,http://katlas.org/wiki/10_164,,,3 z^4+z^2+1,,
10_164,http://katlas.org/wiki/10_164,,,,"1, 3, -6, 7, -4, -1, 2, 8, -5, 6, -9, 4, 10, -2, -3, 9, -7, 5, -8, -10",
10_164,http://katlas.org/wiki/10_164,,,,,-2 q^3+5 q^2-6 q+8-8 q^{-1} +7 q^{-2} -5 q^{-3} +3 q^{-4} - q^{-5}
10_163,http://katlas.org/wiki/10_163,/w/images/5/55/10_163.gif,,,,
10_163,http://katlas.org/wiki/10_163,,t^3-5 t^2+12 t-15+12 t^{-1} -5 t^{-2} + t^{-3},,,
10_163,http://katlas.org/wiki/10_163,,,z^6+z^4+z^2+1,,
10_163,http://katlas.org/wiki/10_163,,,,"1, -6, 2, -7, 8, -1, 9, -2, 10, -8, -4, 5, -3, -9, 6, -10, 7, 3, -5, 4",
10_163,http://katlas.org/wiki/10_163,,,,,-2 q^6+5 q^5-7 q^4+9 q^3-9 q^2+8 q-6+4 q^{-1} - q^{-2}
10_162,http://katlas.org/wiki/10_162,/w/images/1/16/10_162.gif,,,,
10_162,http://katlas.org/wiki/10_162,,-3 t^2+9 t-11+9 t^{-1} -3 t^{-2},,,
10_162,http://katlas.org/wiki/10_162,,,-3 z^4-3 z^2+1,,
10_162,http://katlas.org/wiki/10_162,,,,"1, -4, 3, -7, 5, -1, 6, -8, 2, -3, 7, 10, -9, -5, 4, -2, 8, -6, -10, 9",
10_162,http://katlas.org/wiki/10_162,,,,,2 q-3+5 q^{-1} -6 q^{-2} +6 q^{-3} -6 q^{-4} +4 q^{-5} -2 q^{-6} + q^{-7}
10_161,http://katlas.org/wiki/10_161,/w/images/5/53/10_161.gif,,,,
10_161,http://katlas.org/wiki/10_161,,t^3-2 t+3-2 t^{-1} + t^{-3},,,
10_161,http://katlas.org/wiki/10_161,,,z^6+6 z^4+7 z^2+1,,
10_161,http://katlas.org/wiki/10_161,,,,"-1, 10, -2, 1, 6, -5, -3, 8, 4, -7, -10, 2, -8, 3, 9, -6, 7, -4, 5, -9",
10_161,http://katlas.org/wiki/10_161,,,,,q^{-3} + q^{-6} - q^{-7} + q^{-8} - q^{-9} + q^{-10} - q^{-11}
10_160,http://katlas.org/wiki/10_160,/w/images/d/df/10_160.gif,,,,
10_160,http://katlas.org/wiki/10_160,,-t^3+4 t^2-4 t+3-4 t^{-1} +4 t^{-2} - t^{-3},,,
10_160,http://katlas.org/wiki/10_160,,,-z^6-2 z^4+3 z^2+1,,
10_160,http://katlas.org/wiki/10_160,,,,"1, -10, 2, -1, -6, 5, -3, 8, -4, 7, 10, -2, -8, 3, -9, 6, -7, 4, -5, 9",
10_160,http://katlas.org/wiki/10_160,,,,,-2 q^7+3 q^6-3 q^5+4 q^4-3 q^3+3 q^2-2 q+1
10_159,http://katlas.org/wiki/10_159,/w/images/0/03/10_159.gif,,,,
10_159,http://katlas.org/wiki/10_159,,t^3-4 t^2+9 t-11+9 t^{-1} -4 t^{-2} + t^{-3},,,
10_159,http://katlas.org/wiki/10_159,,,z^6+2 z^4+2 z^2+1,,
10_159,http://katlas.org/wiki/10_159,,,,"-1, 5, -2, 6, -8, 1, -9, 2, -10, 8, 3, -7, 4, 9, -5, 10, -6, -3, 7, -4",
10_159,http://katlas.org/wiki/10_159,,,,,-1+4 q^{-1} -5 q^{-2} +7 q^{-3} -7 q^{-4} +6 q^{-5} -5 q^{-6} +3 q^{-7} - q^{-8}
10_158,http://katlas.org/wiki/10_158,/w/images/5/57/10_158.gif,,,,
10_158,http://katlas.org/wiki/10_158,,-t^3+4 t^2-10 t+15-10 t^{-1} +4 t^{-2} - t^{-3},,,
10_158,http://katlas.org/wiki/10_158,,,-z^6-2 z^4-3 z^2+1,,
10_158,http://katlas.org/wiki/10_158,,,,"1, 5, -2, 8, -7, -1, 3, -4, -5, 2, -6, 10, 4, -3, 9, 7, -8, 6, -10, -9",
10_158,http://katlas.org/wiki/10_158,,,,,2 q^4-4 q^3+6 q^2-8 q+8-7 q^{-1} +6 q^{-2} -3 q^{-3} + q^{-4}
10_157,http://katlas.org/wiki/10_157,/w/images/9/98/10_157.gif,,,,
10_157,http://katlas.org/wiki/10_157,,-t^3+6 t^2-11 t+13-11 t^{-1} +6 t^{-2} - t^{-3},,,
10_157,http://katlas.org/wiki/10_157,,,-z^6+4 z^2+1,,
10_157,http://katlas.org/wiki/10_157,,,,"-1, -9, 2, -10, 8, 1, -4, 5, 9, -2, 3, 7, -6, 4, -5, -3, 10, -8, -7, 6",
10_157,http://katlas.org/wiki/10_157,,,,,q^{10}-4 q^9+6 q^8-8 q^7+9 q^6-8 q^5+7 q^4-4 q^3+2 q^2
10_156,http://katlas.org/wiki/10_156,/w/images/9/97/10_156.gif,,,,
10_156,http://katlas.org/wiki/10_156,,t^3-4 t^2+8 t-9+8 t^{-1} -4 t^{-2} + t^{-3},,,
10_156,http://katlas.org/wiki/10_156,,,z^6+2 z^4+z^2+1,,
10_156,http://katlas.org/wiki/10_156,,,,"1, -10, 2, -1, 6, -5, -3, 8, 4, -7, 10, -2, -8, 3, 9, -6, 7, -4, 5, -9",
10_156,http://katlas.org/wiki/10_156,,,,,-q^2+3 q-4+6 q^{-1} -6 q^{-2} +6 q^{-3} -5 q^{-4} +3 q^{-5} - q^{-6}
10_155,http://katlas.org/wiki/10_155,/w/images/7/73/10_155.gif,,,,
10_155,http://katlas.org/wiki/10_155,,-t^3+3 t^2-5 t+7-5 t^{-1} +3 t^{-2} - t^{-3},,,
10_155,http://katlas.org/wiki/10_155,,,-z^6-3 z^4-2 z^2+1,,
10_155,http://katlas.org/wiki/10_155,,,,"-1, 4, -3, 6, -5, 1, -2, 9, -7, 3, -6, -10, 8, 5, -4, 2, -9, 7, 10, -8",
10_155,http://katlas.org/wiki/10_155,,,,,q^6-2 q^5+3 q^4-4 q^3+4 q^2-4 q+4-2 q^{-1} + q^{-2}
10_154,http://katlas.org/wiki/10_154,/w/images/6/61/10_154.gif,,,,
10_154,http://katlas.org/wiki/10_154,,t^3-4 t+7-4 t^{-1} + t^{-3},,,
10_154,http://katlas.org/wiki/10_154,,,z^6+6 z^4+5 z^2+1,,
10_154,http://katlas.org/wiki/10_154,,,,"1, -10, 2, -1, 3, -9, 10, -2, -4, 8, 9, -3, -6, 7, -8, 4, -5, 6, -7, 5",
10_154,http://katlas.org/wiki/10_154,,,,,q^{12}-2 q^{11}+2 q^{10}-3 q^9+2 q^8-2 q^7+2 q^6+q^3
